IB_EC3 ID	CNV calling group
K744	Arabian
M10638	Arabian
M10641	Arabian
M10642	Arabian
ARAB0132A	Arabian
ARAB0016A	Arabian
ARAB0133A	Arabian
ARAB0134A	Arabian
ARAB0017A	Arabian
ARAB0018A	Arabian
ARAB0135A	Arabian
ARAB0136A	Arabian
ARAB0019A	Arabian
ARAB0020A	Arabian
ARAB0141A	Arabian
ARAB0034A	Arabian
ARAB0035A	Arabian
ARAB0036A	Arabian
BROOKS2174	Arabian
M10998	Arabian
M11000	Arabian
M11002	Arabian
M11013	Arabian
ERR1527951	Arabian
SRR4054279	Arabian
SRR4054242	Arabian
SRR4054277	Arabian
SRR3726219	Arabian
SRR1046129	Arabian
M10648	Arabian
M10649	Arabian
M10639	Arabian
M10658	Arabian
M10640	Arabian
M10661	Arabian
A4416	Belgian
M1552	Belgian
M1930	Belgian
M1931	Belgian
M1932	Belgian
M1937	Belgian
M1939	Belgian
M1942	Belgian
M1944	Belgian
M1946	Belgian
M1941	Belgian
M1964	Belgian
M1966	Belgian
M1967	Belgian
M1968	Belgian
M1970	Belgian
M315	Belgian
M316	Belgian
M367	Belgian
M369	Belgian
BROOKS3148	Belgian
M1542	Belgian
M1545	Belgian
M1557	Clydesdale
M1559	Clydesdale
M1561	Clydesdale
M1568	Clydesdale
M1570	Clydesdale
M1571	Clydesdale
M1579	Clydesdale
M1581	Clydesdale
M1583	Clydesdale
M7645	Clydesdale
M1556	Clydesdale
#suppressed	Clydesdale
M1565	Clydesdale
M1563	Clydesdale
M2023	Clydesdale
M2025	Clydesdale
M2039	Clydesdale
M2044	Clydesdale
M2060	Clydesdale
M2068	Clydesdale
IT3	Icelandic
IT4	Icelandic
ICEL0143A	Icelandic
ICEL0144A	Icelandic
M487	Icelandic
M466	Icelandic
M467	Icelandic
M468	Icelandic
M469	Icelandic
M470	Icelandic
M472	Icelandic
M473	Icelandic
M475	Icelandic
M476	Icelandic
M477	Icelandic
M478	Icelandic
M479	Icelandic
ERR863167	Icelandic
ERR793393	Icelandic
SRR1167093	Icelandic
SRR1167052	Icelandic
SRR1167108	Icelandic
SRR1167109	Icelandic
SRR1167110	Icelandic
SRR1167891	Icelandic
SRR1167892	Icelandic
SRR1167893	Icelandic
SRR1167053	Icelandic
FJOR0142A	Icelandic
YAKU0163A	Icelandic
YAKU0164A	Icelandic
YAKU0165A	Icelandic
YAKU0166A	Icelandic
YAKU0167A	Icelandic
YAKU0168A	Icelandic
YAKU0169A	Icelandic
YAKU0170A	Icelandic
YAKU0171A	Icelandic
M6337	Morgan
M6449	Morgan
M6462	Morgan
M6468	Morgan
M6482	Morgan
M6536	Morgan
M6539	Morgan
M6558	Morgan
M6598	Morgan
M6682	Morgan
M6252	Morgan
M6253	Morgan
M6798	Morgan
M6807	Morgan
M6813	Morgan
M6212	Morgan
M6294	Morgan
M6296	Morgan
M10999	Morgan
M11020	Morgan
M11003	Morgan
M11005	Morgan
M11006	Morgan
ERR953413	Morgan
#excluded	NA
CLDB65664	Other_draft
CLDB65665	Other_draft
CLDB65666	Other_draft
M11008	Other_draft
FRMO0041A	Other_draft
FRMO0042A	Other_draft
FRMO0043A	Other_draft
FRMO0044A	Other_draft
FRMO0045A	Other_draft
FRMO0046A	Other_draft
FRMO0047A	Other_draft
FRMO0048A	Other_draft
FRMO0049A	Other_draft
FRMO0050A	Other_draft
FRMO0051A	Other_draft
FRMO0052A	Other_draft
FRMO0053A	Other_draft
FRMO0054A	Other_draft
FRMO0055A	Other_draft
FRMO0056A	Other_draft
FRMO0057A	Other_draft
FRMO0058A	Other_draft
FRMO0059A	Other_draft
FRMO0060A	Other_draft
FRMO0061A	Other_draft
FRMO0062A	Other_draft
FRMO0063A	Other_draft
FRMO0064A	Other_draft
FRMO0065A	Other_draft
FRMO0066A	Other_draft
FRMO0067A	Other_draft
FRMO0068A	Other_draft
FRMO0037A	Other_draft
FRMO0069A	Other_draft
ERR1397962	Other_horse
ERR1397965	Other_horse
LIPI0186A	Other_horse
LIPI0187A	Other_horse
LIPI0188A	Other_horse
LIPI0189A	Other_horse
ERR982794	Other_horse
M11014	Other_horse
ERR982786	Other_horse
SRR2142313	Other_horse
SRR1046135	Other_horse
SRR1564422	Other_horse
SRR1564421	Other_horse
SRR1564419	Other_horse
K743	Other_horse
SRR1564423	Other_horse
BROOKS1032	Other_horse
CON15	Other_pony
CON26	Other_pony
CON3	Other_pony
CON40	Other_pony
SRR1048526	Other_pony
ERR1527966	Other_pony
HF13B	Other_pony
HF13C	Other_pony
HF13D	Other_pony
HF14A	Other_pony
HF14C	Other_pony
HF15A	Other_pony
HAFL0015A	Other_pony
SRR527804	Other_pony
SRR527528	Other_pony
SRR527799	Other_pony
SRR527803	Other_pony
SRR516104	Other_pony
SRR526907	Other_pony
SRR527520	Other_pony
